seqid,stabr,fscskey,fscs_seq,libid,libname,address,city,zip,cnty,c_out_ty,sq_feet,f_sq_ft,hours,f_hours,wks_open,f_wksopn,yr_sub,locale,add_orig,match_note,score,match_add,xcoord,ycoord
13,RI,RI0010,007,OAK,OAK LAWN BRANCH,230 WILBUR AVENUE,CRANSTON,02920,PROVIDENCE,BR,2068,R_21,1399,R_21,52,R_21,2022,21,,ONE MATCH,92.08,"230 WILBUR AV, CRANSTON, RI, 02921",331779.7171267235,242800.417902139
14,RI,RI0011,002,CUM,CUMBERLAND PUBLIC LIBRARY,1464 DIAMOND HILL ROAD,CUMBERLAND,02864,PROVIDENCE,CE,55210,R_21,2212,R_21,49,R_21,2022,21,,MULTIPLE MATCHES,100.0,"1464 DIAMOND HILL RD, CUMBERLAND, RI, 02864",353846.9584801453,310452.4085517983
15,RI,RI0012,002,EGR,EAST GREENWICH FREE LIBRARY,82 PEIRCE STREET,EAST GREENWICH,02818,KENT,CE,11800,R_21,2124,R_21,52,R_21,2022,21,,ONE MATCH,100.0,"82 PEIRCE ST, EAST GREENWICH, RI, 02818",341509.17265863856,210625.3806009634
16,RI,RI0013,002,EPL,EAST PROVIDENCE PUBLIC LIBRARY,41 GROVE AVENUE,EAST PROVIDENCE,02914,PROVIDENCE,CE,25000,R_21,1829,R_21,39,R_21,2022,21,,ONE MATCH,100.0,"41 GROVE AV, EAST PROVIDENCE, RI, 02914",362086.3763872979,267889.3497298688
17,RI,RI0013,003,EPF,ANNE IDE FULLER CREATIVE LEARNING CENTER,260 DOVER AVENUE,EAST PROVIDENCE,02914,PROVIDENCE,BR,2640,R_21,1144,R_21,34,R_21,2022,21,,ONE MATCH,100.0,"260 DOVER AV, EAST PROVIDENCE, RI, 02914",366537.400909648,262498.66112595703
18,RI,RI0013,004,EPV,RIVERSIDE BRANCH,475 BULLOCKS POINT AVENUE,EAST PROVIDENCE,02915,PROVIDENCE,BR,8500,R_21,1008,R_21,31,R_21,2022,21,,ONE MATCH,100.0,"475 BULLOCKS POINT AV, EAST PROVIDENCE, RI, 02915",365870.55391543923,248586.19136857148
19,RI,RI0014,002,EXE,EXETER PUBLIC LIBRARY,773 TEN ROD ROAD,EXETER,02822,WASHINGTON,CE,6400,R_21,1930,R_21,52,R_21,2022,41,,ONE MATCH,100.0,"773 TEN ROD RD, EXETER, RI, 02822",304272.44221306185,181108.21287964573
20,RI,RI0015,002,FOS,FOSTER PUBLIC LIBRARY,184 HOWARD HILL ROAD,FOSTER,02825,PROVIDENCE,CE,2145,R_21,1872,R_21,39,R_21,2022,41,,ONE MATCH,100.0,"184 HOWARD HILL RD, FOSTER, RI, 02825",267957.5645487038,255595.22558849512
21,RI,RI0015,003,TYL,TYLER FREE LIBRARY,81A MOOSUP VALLEY ROAD,FOSTER,02825,PROVIDENCE,BR,1261,R_21,1183,R_21,39,R_21,2022,41,,MULTIPLE MATCHES,100.0,"81 A MOOSUP VALLEY RD, FOSTER, RI, 02825",259022.3438905389,238054.53327143675
22,RI,RI0017,002,HAR,HARMONY LIBRARY,195 PUTNAM PIKE,GLOCESTER,02829,PROVIDENCE,CE,6986,R_21,2344,R_21,52,R_21,2022,41,,MULTIPLE MATCHES,92.08,"195 PUTNAM PIKE, GLOCESTER, RI, 02814",301960.62188729836,293423.5006101967
